ID Transacao,Item,Quantidade,Preco Unitario,Gasto Total,Metodo Pagamento,Localidade,Data Transacao
TXN_5009706,Sanduiche,2,4.0,8.0,Carteira Digital,Loja,2023-09-20
TXN_7223120,Suco,1,3.0,3.0,,,2023-03-13
TXN_1991104,Suco,2,ERRO,6.0,Carteira Digital,Entrega,2023-11-29
TXN_3380698,Cafe,3,2.0,6.0,Cartao de Credito,Entrega,2023-12-15
TXN_9084554,,4,4.0,16.0,Cartao de Credito,Loja,2023-06-08
TXN_2996948,Smoothie,3,4.0,Nao Sabemos,,Nao Sabemos,2023-06-25
TXN_1148945,Cafe,1,2.0,2.0,,Nao Sabemos,2023-09-05
TXN_2078577,Cha,4,1.5,6.0,Cartao de Credito,,2023-01-31
TXN_4007285,Sanduiche,5,4.0,20.0,Carteira Digital,,2023-01-16
TXN_2336708,ERRO,2,3.0,6.0,Dinheiro,Loja,2023-06-16
TXN_1512118,Salada,4,5.0,20.0,Dinheiro,Loja,2023-03-01
TXN_6077816,Bolo,3,3.0,9.0,Cartao de Credito,Nao Sabemos,2023-09-26
TXN_5136936,Bolo,3,3.0,9.0,Dinheiro,,2023-08-24
TXN_8623443,,3,5.0,15.0,Cartao de Credito,Loja,2023-09-04
TXN_5654490,Cha,4,1.5,6.0,Cartao de Credito,,2023-05-22
TXN_4033888,Sanduiche,2,4.0,8.0,Dinheiro,Loja,2023-02-04
TXN_4591512,Cha,2,1.5,3.0,,,2023-08-11
TXN_6886495,Cookie,4,1.0,4.0,Dinheiro,,2023-08-07
TXN_9218683,Bolo,2,3.0,6.0,Carteira Digital,Loja,ERRO
TXN_2153529,Cookie,1,1.0,1.0,Cartao de Credito,Nao Sabemos,2023-09-11
TXN_7880148,Bolo,3,3.0,9.0,Cartao de Credito,Entrega,2023-12-12
TXN_3688181,Bolo,1,3.0,3.0,,Entrega,2023-08-23
TXN_2482129,Suco,1,3.0,3.0,Dinheiro,ERRO,2023-12-12
TXN_4187420,Bolo,3,3.0,9.0,Carteira Digital,Loja,2023-01-31
TXN_4146452,Smoothie,1,4.0,4.0,,Entrega,2023-05-31
TXN_9553579,Bolo,2,3.0,6.0,Cartao de Credito,Loja,2023-10-03
TXN_3854285,Salada,3,5.0,15.0,Dinheiro,Entrega,2023-07-18
TXN_5614488,Sanduiche,1,4.0,4.0,Cartao de Credito,Entrega,2023-07-22
TXN_6187083,Bolo,5,3.0,15.0,Nao Sabemos,Loja,2023-06-02
TXN_1521486,Salada,4,5.0,20.0,,ERRO,2023-01-28
TXN_6868182,Nao Sabemos,5,4.0,20.0,Cartao de Credito,Nao Sabemos,2023-01-02
TXN_6035534,Salada,4,5.0,20.0,Cartao de Credito,Loja,2023-12-18
TXN_8781128,Sanduiche,5,4.0,20.0,Carteira Digital,Entrega,ERRO
TXN_7670743,Salada,4,5.0,20.0,,Loja,2023-04-28
TXN_7201724,Salada,1,5.0,5.0,Dinheiro,Entrega,2023-03-20
TXN_2881199,Smoothie,ERRO,4.0,4.0,Carteira Digital,,2023-03-05
TXN_3616362,Smoothie,5,4.0,Nao Sabemos,Carteira Digital,Loja,2023-12-02
TXN_6113876,Bolo,3,3.0,9.0,Dinheiro,Loja,2023-03-01
TXN_6007079,ERRO,2,1.0,2.0,Cartao de Credito,Loja,2023-10-09
TXN_3163383,Cha,2,1.5,3.0,ERRO,Loja,2023-10-24
TXN_1413304,Nao Sabemos,5,5.0,25.0,,Entrega,2023-03-17
TXN_4907812,Sanduiche,Nao Sabemos,4.0,8.0,Carteira Digital,Loja,2023-08-11
TXN_7894514,Bolo,1,3.0,3.0,,,2023-09-25
TXN_6450138,Bolo,1,3.0,3.0,Cartao de Credito,Entrega,2023-04-13
TXN_9874588,Sanduiche,2,4.0,8.0,Nao Sabemos,Entrega,2023-06-04
TXN_6732989,Salada,2,5.0,10.0,Cartao de Credito,,2023-04-29
TXN_5442610,Suco,2,3.0,6.0,ERRO,Entrega,2023-12-10
TXN_2155368,ERRO,2,1.0,2.0,Carteira Digital,Entrega,2023-02-06
TXN_5236892,ERRO,1,3.0,3.0,Carteira Digital,Entrega,2023-03-09
TXN_9328595,Cha,2,1.5,3.0,Dinheiro,,2023-10-24
TXN_1324930,Sanduiche,5,4.0,Nao Sabemos,Cartao de Credito,Entrega,2023-01-11
TXN_6148397,Cha,4,1.5,6.0,,Loja,2023-03-20
TXN_8298711,Cafe,3,2.0,6.0,,Entrega,2023-01-26
TXN_7085875,Suco,3,3.0,9.0,Carteira Digital,Loja,2023-08-23
TXN_3857768,Cafe,2,2.0,4.0,Cartao de Credito,,2023-01-04
TXN_5474440,Bolo,2,3.0,6.0,Cartao de Credito,,2023-11-08
TXN_6057379,Salada,5,5.0,25.0,Cartao de Credito,Entrega,2023-03-18
TXN_4637070,Cha,3,1.5,4.5,Cartao de Credito,,2023-06-13
TXN_9313535,Cookie,1,1.0,1.0,Carteira Digital,Entrega,2023-06-04
TXN_8161873,Nao Sabemos,1,1.5,1.5,Carteira Digital,,2023-02-08
TXN_5441196,Cha,,1.5,1.5,Dinheiro,,2023-05-24
TXN_9626053,Salada,1,5.0,5.0,Dinheiro,Entrega,2023-08-11
TXN_7026504,ERRO,5,4.0,20.0,,,2023-03-29
TXN_4114843,Sanduiche,ERRO,4.0,8.0,Dinheiro,,2023-05-17
TXN_6622954,Smoothie,2,4.0,8.0,,Loja,2023-01-13
TXN_5509088,Sanduiche,3,4.0,12.0,Carteira Digital,,2023-08-28
TXN_5583534,Cookie,2,1.0,2.0,Dinheiro,Entrega,2023-10-31
TXN_1438257,Salada,4,5.0,20.0,Cartao de Credito,Entrega,2023-06-13
TXN_6428593,Cha,5,1.5,ERRO,,,2023-09-06
TXN_4257830,Cookie,5,1.0,5.0,Nao Sabemos,Loja,2023-08-04
TXN_8780340,Bolo,5,3.0,15.0,Cartao de Credito,,2023-08-29
TXN_5801294,Salada,1,5.0,5.0,ERRO,,2023-10-20
TXN_4315988,Nao Sabemos,2,5.0,10.0,Dinheiro,Entrega,2023-04-12
TXN_3963927,Sanduiche,4,4.0,16.0,Cartao de Credito,Loja,2023-01-03
TXN_2906443,Bolo,4,3.0,12.0,,,2023-08-14
TXN_2660295,Cookie,3,1.0,3.0,,Nao Sabemos,2023-12-06
TXN_7023528,Cha,5,1.5,7.5,Dinheiro,Loja,2023-10-28
TXN_5419862,Suco,5,3.0,15.0,Carteira Digital,,2023-05-29
TXN_9124680,Cookie,2,1.0,2.0,Dinheiro,Entrega,2023-10-03
TXN_7853635,Salada,3,5.0,15.0,Carteira Digital,Entrega,2023-02-16
TXN_2009893,Smoothie,3,4.0,12.0,ERRO,,2023-12-06
TXN_3516263,Bolo,2,3.0,6.0,Carteira Digital,Loja,2023-09-23
TXN_1591640,Bolo,2,3.0,6.0,Dinheiro,Loja,2023-05-26
TXN_9358958,Smoothie,1,4.0,4.0,,Entrega,2023-05-08
TXN_3008336,,5,4.0,20.0,Cartao de Credito,,2023-07-27
TXN_7401710,Sanduiche,5,4.0,20.0,Dinheiro,Nao Sabemos,2023-10-24
TXN_2176727,Cha,1,1.5,1.5,,Entrega,2023-07-26
TXN_5595717,Suco,2,3.0,6.0,,,2023-06-16
TXN_1697018,Suco,4,3.0,12.0,Carteira Digital,Loja,2023-07-02
TXN_1910957,Cha,5,1.5,7.5,,Entrega,2023-07-25
TXN_2667225,Salada,2,5.0,10.0,Dinheiro,Loja,2023-11-21
TXN_3152531,Cafe,3,2.0,6.0,Cartao de Credito,Nao Sabemos,2023-11-24
TXN_8605958,Sanduiche,,4.0,20.0,Dinheiro,,2023-06-09
TXN_5033045,Salada,3,5.0,15.0,Carteira Digital,,2023-04-21
TXN_7527249,Cha,3,1.5,4.5,Nao Sabemos,Entrega,2023-03-29
TXN_9159212,Smoothie,3,4.0,12.0,Carteira Digital,Entrega,2023-01-12
TXN_6881523,Suco,5,3.0,15.0,,Entrega,2023-02-24
TXN_9725369,Cafe,Nao Sabemos,2.0,6.0,,Entrega,2023-02-10
TXN_3282436,Salada,5,5.0,25.0,Cartao de Credito,Loja,2023-12-14
TXN_4206256,Smoothie,3,4.0,12.0,,ERRO,2023-10-10
TXN_8465274,Bolo,3,3.0,9.0,Carteira Digital,Entrega,2023-02-01
TXN_1286779,Smoothie,ERRO,4.0,16.0,Cartao de Credito,,2023-04-13
TXN_7216922,Suco,5,3.0,15.0,Nao Sabemos,,2023-06-26
TXN_8330446,Smoothie,3,4.0,12.0,Cartao de Credito,Loja,2023-08-06
TXN_1282260,Sanduiche,5,4.0,20.0,Carteira Digital,Nao Sabemos,2023-07-21
TXN_9582716,Bolo,2,3.0,6.0,Nao Sabemos,Nao Sabemos,ERRO
TXN_9769410,Salada,1,5.0,5.0,Dinheiro,Loja,2023-07-22
TXN_7482583,Cha,5,1.5,7.5,Cartao de Credito,,
TXN_3865224,Cafe,3,2.0,6.0,,,2023-07-25
TXN_8135614,Suco,2,Nao Sabemos,6.0,Carteira Digital,,2023-01-28
TXN_9603131,Smoothie,5,4.0,20.0,ERRO,Nao Sabemos,2023-08-19
TXN_1437083,Smoothie,2,4.0,8.0,Cartao de Credito,Loja,2023-03-15
TXN_2955040,ERRO,5,3.0,15.0,,,2023-03-21
TXN_2413626,Bolo,1,3.0,3.0,Cartao de Credito,Entrega,2023-11-06
TXN_1568657,Cafe,2,Nao Sabemos,4.0,Dinheiro,,
TXN_3392848,Bolo,2,3.0,6.0,Dinheiro,Loja,2023-04-03
TXN_7027905,Sanduiche,1,4.0,4.0,Cartao de Credito,Loja,2023-07-17
TXN_8808034,Smoothie,2,4.0,8.0,Dinheiro,Loja,2023-08-09
TXN_1663113,Smoothie,4,4.0,16.0,Cartao de Credito,Entrega,2023-12-24
TXN_1544070,Cafe,5,2.0,10.0,Nao Sabemos,Entrega,2023-09-05
TXN_6189334,Sanduiche,1,4.0,4.0,Dinheiro,Loja,2023-01-12
TXN_3412490,Bolo,2,3.0,6.0,Dinheiro,Loja,Nao Sabemos
TXN_1852586,Bolo,5,3.0,15.0,,Loja,Nao Sabemos
TXN_3803732,Salada,4,,20.0,Carteira Digital,,2023-01-08
TXN_3410971,Smoothie,1,4.0,4.0,,Entrega,2023-01-02
TXN_6467618,Cha,3,1.5,4.5,,Entrega,2023-10-12
TXN_6908287,Cookie,1,1.0,1.0,Dinheiro,Loja,2023-08-04
TXN_2726700,Nao Sabemos,,1.5,3.0,Carteira Digital,,2023-04-10
TXN_1803889,Salada,4,5.0,20.0,,,2023-06-23
TXN_6829707,Sanduiche,1,4.0,4.0,Dinheiro,Entrega,2023-08-17
TXN_7303706,Cafe,2,2.0,4.0,Dinheiro,Loja,2023-12-14
TXN_1730647,Suco,5,3.0,15.0,Carteira Digital,Loja,2023-01-18
TXN_9691018,Sanduiche,2,4.0,8.0,Carteira Digital,Nao Sabemos,2023-07-21
TXN_5480564,Salada,3,ERRO,15.0,Carteira Digital,,2023-05-28
TXN_4090904,,Nao Sabemos,1.5,7.5,Carteira Digital,Loja,2023-08-04
TXN_9138791,Bolo,1,3.0,,Carteira Digital,Loja,2023-03-22
TXN_2367947,Smoothie,5,4.0,20.0,,Entrega,2023-05-13
TXN_4936135,Cafe,4,2.0,8.0,Dinheiro,Loja,2023-12-08
TXN_5311015,Smoothie,3,4.0,12.0,ERRO,,2023-05-11
TXN_2473090,Nao Sabemos,2,,3.0,Cartao de Credito,Loja,2023-03-03
TXN_8808631,Sanduiche,5,ERRO,20.0,ERRO,Entrega,2023-03-26
TXN_8703212,ERRO,2,2.0,4.0,Cartao de Credito,Entrega,2023-04-17
TXN_7732920,Sanduiche,5,4.0,20.0,Dinheiro,,2023-02-11
TXN_4496665,Sanduiche,2,4.0,8.0,Carteira Digital,Entrega,2023-12-10
TXN_5041555,Nao Sabemos,4,1.5,6.0,Carteira Digital,,2023-08-26
TXN_6816094,Cha,4,1.5,6.0,,Loja,2023-12-30
TXN_8209794,Cafe,5,2.0,10.0,Cartao de Credito,Entrega,2023-10-25
TXN_4135454,Sanduiche,4,4.0,16.0,,Loja,2023-07-23
TXN_3942164,Cafe,4,2.0,8.0,Cartao de Credito,,
TXN_2761542,Cookie,4,1.0,4.0,,,2023-10-15
TXN_7948095,Salada,5,5.0,Nao Sabemos,,Entrega,2023-07-18
TXN_3330687,Bolo,5,3.0,15.0,Dinheiro,Loja,2023-12-26
TXN_9822317,Nao Sabemos,3,1.5,4.5,Dinheiro,Loja,2023-09-25
TXN_6243479,Sanduiche,5,4.0,20.0,,,2023-09-18
TXN_9296807,Cafe,3,2.0,6.0,Cartao de Credito,,2023-12-20
TXN_7626939,Cafe,Nao Sabemos,2.0,10.0,,,ERRO
TXN_5354746,Cafe,4,2.0,8.0,Carteira Digital,Entrega,2023-03-06
TXN_1235969,Cookie,1,1.0,1.0,Carteira Digital,,2023-07-08
TXN_4240796,Suco,4,3.0,12.0,,,2023-03-28
TXN_3736798,Cafe,4,2.0,8.0,Carteira Digital,Loja,2023-07-01
TXN_9102030,Smoothie,4,4.0,16.0,Carteira Digital,Loja,ERRO
TXN_8118419,Bolo,3,3.0,9.0,,Nao Sabemos,2023-12-03
TXN_3089814,Bolo,5,3.0,15.0,Carteira Digital,,2023-03-25
TXN_6719521,Salada,5,5.0,25.0,Dinheiro,Loja,2023-08-03
TXN_6530795,Cookie,1,1.0,1.0,Cartao de Credito,,2023-04-30
TXN_4176373,Cookie,3,1.0,3.0,Dinheiro,,2023-03-28
TXN_7230500,Suco,3,3.0,9.0,Cartao de Credito,,2023-12-12
TXN_7094898,Salada,4,5.0,20.0,,Entrega,2023-06-20
TXN_2400518,Suco,3,3.0,9.0,Cartao de Credito,,2023-02-04
TXN_5349288,Cafe,4,2.0,8.0,Carteira Digital,,2023-11-20
TXN_6806290,Salada,3,5.0,15.0,Nao Sabemos,,2023-05-02
TXN_6191123,,2,1.0,ERRO,Carteira Digital,Entrega,2023-03-01
TXN_5386752,Salada,4,5.0,20.0,Carteira Digital,Loja,2023-12-07
TXN_1022523,Salada,4,5.0,20.0,Dinheiro,Loja,2023-11-25
TXN_3125997,Suco,4,3.0,12.0,,,2023-10-19
TXN_9906002,Smoothie,Nao Sabemos,4.0,12.0,Carteira Digital,Loja,2023-07-13
TXN_6202015,Cookie,2,1.0,2.0,Cartao de Credito,Entrega,2023-08-22
TXN_6928137,Bolo,3,3.0,9.0,Carteira Digital,Loja,2023-10-11
TXN_3003809,Cafe,4,2.0,8.0,Dinheiro,,2023-04-21
TXN_5913013,Cookie,2,1.0,2.0,Cartao de Credito,Entrega,2023-11-29
TXN_7433269,Cha,1,1.5,1.5,Dinheiro,Loja,2023-05-18
TXN_3103972,Bolo,1,3.0,3.0,ERRO,,2023-03-01
TXN_9081115,Suco,3,3.0,ERRO,,,2023-12-04
TXN_1054915,,5,1.0,5.0,,Loja,2023-01-22
TXN_2633600,Salada,5,5.0,Nao Sabemos,Dinheiro,Entrega,2023-11-28
TXN_4631695,Cookie,5,1.0,5.0,Nao Sabemos,Loja,2023-11-18
TXN_3121271,Smoothie,2,4.0,8.0,Cartao de Credito,,2023-08-13
TXN_4613883,Cha,1,1.5,1.5,Dinheiro,,2023-05-21
TXN_2766651,Bolo,ERRO,3.0,9.0,,,2023-05-11
TXN_2166064,Cafe,4,2.0,8.0,,Loja,2023-02-08
TXN_4617771,Smoothie,4,4.0,16.0,Carteira Digital,Entrega,2023-09-10
TXN_9444461,Sanduiche,2,4.0,8.0,,ERRO,2023-05-28
TXN_4723978,ERRO,2,1.0,2.0,,,2023-04-20
TXN_1741325,Cha,2,1.5,3.0,Cartao de Credito,Loja,2023-03-31
TXN_9370294,Bolo,2,3.0,6.0,Cartao de Credito,,2023-04-23
TXN_9983356,Sanduiche,2,4.0,8.0,Carteira Digital,Entrega,2023-09-20
TXN_8964527,Sanduiche,4,4.0,16.0,Carteira Digital,Entrega,2023-02-22
TXN_7696120,Cookie,1,,1.0,Nao Sabemos,Loja,
TXN_3331437,,1,2.0,2.0,Dinheiro,Entrega,2023-02-26
TXN_6313325,Cookie,5,1.0,5.0,ERRO,,2023-07-07
TXN_9497634,Suco,3,3.0,9.0,Dinheiro,,2023-07-20
TXN_9408993,Sanduiche,1,4.0,4.0,Carteira Digital,Loja,2023-08-19
TXN_7810285,Bolo,4,3.0,12.0,Dinheiro,Entrega,2023-10-25
TXN_5322809,Bolo,2,3.0,6.0,,ERRO,2023-04-30
TXN_1961595,Smoothie,5,4.0,20.0,Carteira Digital,Loja,2023-07-02
TXN_1200795,Sanduiche,1,4.0,4.0,,Loja,2023-08-18
TXN_8958073,Smoothie,1,4.0,4.0,,,2023-03-31
TXN_4114503,Salada,5,5.0,25.0,,Entrega,2023-11-07
TXN_4179561,Cookie,2,1.0,2.0,Carteira Digital,Loja,2023-11-12
TXN_5669113,Sanduiche,2,4.0,Nao Sabemos,,Entrega,2023-03-19
TXN_7574828,Cafe,2,2.0,4.0,,Loja,2023-09-24
TXN_9056301,Cookie,2,1.0,2.0,Cartao de Credito,Entrega,2023-03-02
TXN_8530924,Sanduiche,2,4.0,8.0,Cartao de Credito,ERRO,2023-08-05
TXN_1505947,Nao Sabemos,3,1.0,3.0,Dinheiro,,2023-11-21
TXN_2114258,,1,1.0,1.0,Carteira Digital,Loja,2023-12-04
TXN_5965422,Cafe,2,2.0,4.0,Cartao de Credito,,2023-06-20
TXN_6910030,Cafe,4,2.0,8.0,Carteira Digital,Entrega,2023-07-09
TXN_3713626,Sanduiche,2,4.0,8.0,Dinheiro,,2023-12-24
TXN_5753095,Sanduiche,4,4.0,16.0,,,2023-06-25
TXN_5538503,Smoothie,2,4.0,8.0,,Loja,2023-09-05
TXN_7609781,Smoothie,3,4.0,12.0,Dinheiro,Loja,2023-03-13
TXN_8398059,Bolo,1,3.0,3.0,Dinheiro,Entrega,2023-10-15
TXN_3755379,Cookie,2,ERRO,2.0,Carteira Digital,Loja,2023-11-19
TXN_6565955,,3,2.0,6.0,Carteira Digital,Loja,2023-12-29
TXN_1792573,Smoothie,5,4.0,20.0,Dinheiro,Entrega,2023-12-07
TXN_4812472,Bolo,2,3.0,6.0,Dinheiro,,2023-09-16
TXN_2923987,Nao Sabemos,4,2.0,8.0,Dinheiro,Entrega,2023-03-28
TXN_1789644,Cafe,4,2.0,8.0,Cartao de Credito,Loja,ERRO
TXN_5050993,Cookie,4,1.0,4.0,,ERRO,2023-02-06
TXN_9991225,Bolo,5,3.0,15.0,Cartao de Credito,Entrega,2023-02-03
TXN_8734476,Cha,1,1.5,1.5,Dinheiro,Entrega,2023-09-12
TXN_6471962,Sanduiche,4,4.0,16.0,Dinheiro,Entrega,2023-09-21
TXN_1981602,Sanduiche,4,4.0,16.0,Dinheiro,,2023-09-04
TXN_4792702,Sanduiche,1,4.0,4.0,Dinheiro,Entrega,2023-06-28
TXN_3572190,Cafe,5,2.0,10.0,Cartao de Credito,Entrega,2023-03-05
TXN_6791398,Cafe,1,2.0,2.0,Cartao de Credito,Entrega,2023-12-17
TXN_8361255,Bolo,3,3.0,9.0,Dinheiro,Entrega,2023-07-29
TXN_1096690,Smoothie,5,4.0,ERRO,Cartao de Credito,,2023-10-09
TXN_1371554,Sanduiche,2,4.0,,,,2023-05-19
TXN_5080213,Nao Sabemos,1,2.0,,Carteira Digital,,2023-07-18
TXN_5102956,Bolo,5,3.0,15.0,,,
TXN_5858988,Suco,1,ERRO,3.0,Cartao de Credito,Entrega,2023-06-24
TXN_1476066,Smoothie,2,4.0,8.0,ERRO,Entrega,2023-10-19
TXN_6078834,Smoothie,1,4.0,4.0,Carteira Digital,Entrega,2023-04-28
TXN_7812601,Cha,2,1.5,3.0,Cartao de Credito,,2023-11-15
TXN_8186625,Cookie,1,1.0,1.0,Carteira Digital,Entrega,2023-07-21
TXN_3713976,Suco,2,3.0,6.0,,Entrega,2023-11-06
TXN_2946829,Cookie,2,1.0,2.0,Carteira Digital,Entrega,2023-02-08
TXN_8645889,Salada,4,,20.0,Dinheiro,,
TXN_8750849,Bolo,2,3.0,6.0,Cartao de Credito,Entrega,2023-03-03
TXN_2889344,Sanduiche,3,4.0,12.0,,Loja,2023-05-21
TXN_4067814,Cha,5,1.5,7.5,Dinheiro,,2023-12-20
TXN_2018654,Salada,1,ERRO,5.0,,,2023-10-23
TXN_1973716,Salada,4,5.0,20.0,Cartao de Credito,Loja,2023-01-21
TXN_1105589,Cafe,5,2.0,10.0,Dinheiro,Entrega,2023-07-04
TXN_3727374,Bolo,2,3.0,6.0,,Loja,2023-04-10
TXN_9155299,Suco,3,3.0,9.0,,Entrega,2023-02-09
TXN_1346936,Cookie,5,1.0,5.0,ERRO,,2023-10-10
TXN_2089778,Bolo,1,3.0,3.0,,Loja,2023-06-12
TXN_4896948,Bolo,,3.0,12.0,Nao Sabemos,,2023-10-11
TXN_5375349,Cafe,1,2.0,2.0,,Entrega,2023-11-13
TXN_6206171,Bolo,1,3.0,3.0,Carteira Digital,,2023-03-19
TXN_9256387,Cha,5,1.5,7.5,,,2023-05-31
TXN_6915192,Cafe,4,2.0,8.0,Nao Sabemos,Loja,2023-12-09
TXN_8908224,Cafe,4,2.0,8.0,,,2023-08-21
TXN_4988665,Bolo,1,3.0,3.0,Carteira Digital,Entrega,2023-12-16
TXN_7740907,Smoothie,5,4.0,Nao Sabemos,,Loja,2023-02-11
TXN_9596100,,4,3.0,12.0,Dinheiro,Entrega,2023-05-04
TXN_5019407,Suco,4,3.0,12.0,Cartao de Credito,,2023-04-17
TXN_2482363,Cha,3,1.5,4.5,Dinheiro,Nao Sabemos,2023-08-06
TXN_5412834,Smoothie,4,4.0,16.0,Dinheiro,Entrega,2023-07-13
TXN_1389258,Salada,1,5.0,5.0,Dinheiro,Entrega,2023-12-31
TXN_3223187,Cafe,2,2.0,4.0,Cartao de Credito,,2023-08-21
TXN_9288207,Bolo,4,3.0,12.0,,Entrega,2023-05-16
TXN_8300706,Salada,2,5.0,10.0,Carteira Digital,Nao Sabemos,2023-12-23
TXN_8076559,Bolo,5,3.0,15.0,Dinheiro,Entrega,2023-11-02
TXN_2749266,Sanduiche,ERRO,4.0,12.0,,Entrega,2023-02-06
TXN_4310310,Bolo,3,3.0,9.0,Dinheiro,Entrega,2023-03-08
TXN_5301689,Bolo,5,3.0,15.0,,Loja,2023-04-11
TXN_9971927,Smoothie,3,4.0,12.0,,Entrega,2023-08-07
TXN_9143440,Cafe,4,2.0,8.0,Carteira Digital,,2023-03-31
TXN_6359777,,5,4.0,20.0,,,2023-01-13
TXN_2916209,Bolo,2,3.0,6.0,ERRO,Loja,2023-04-15
TXN_6411716,Bolo,4,3.0,12.0,Cartao de Credito,Loja,2023-02-25
TXN_7759607,Sanduiche,1,4.0,4.0,Carteira Digital,,2023-08-11
TXN_8441057,Bolo,4,3.0,12.0,Cartao de Credito,,2023-11-04
TXN_8283691,Suco,3,3.0,9.0,,,2023-01-25
TXN_1154979,Cafe,3,2.0,6.0,Cartao de Credito,Loja,2023-12-11
TXN_4258949,Bolo,2,3.0,6.0,,,2023-03-07
TXN_6129205,Sanduiche,5,4.0,20.0,Dinheiro,Loja,2023-07-20
TXN_3444519,Cookie,4,1.0,4.0,,Entrega,2023-03-10
TXN_6813508,Salada,1,5.0,5.0,Dinheiro,,2023-10-26
TXN_5540986,Bolo,3,3.0,9.0,,Nao Sabemos,2023-05-12
TXN_4832513,Cookie,5,1.0,5.0,Cartao de Credito,Loja,2023-06-05
TXN_6202035,Cha,2,1.5,3.0,,Loja,2023-09-06
TXN_4108120,Cafe,2,2.0,4.0,,Loja,2023-06-14
TXN_8466519,Nao Sabemos,1,1.0,1.0,,Entrega,2023-08-31
TXN_5379385,Cafe,5,2.0,10.0,Cartao de Credito,,2023-02-21
TXN_6782228,Cafe,4,2.0,8.0,Cartao de Credito,,2023-08-18
TXN_7268366,Suco,5,3.0,15.0,,Loja,2023-12-14
TXN_1180969,Cookie,1,1.0,ERRO,Carteira Digital,Loja,2023-01-06
TXN_3815345,,5,1.0,5.0,Dinheiro,Loja,2023-09-16
TXN_7453213,Cafe,Nao Sabemos,2.0,6.0,,Loja,2023-10-27
TXN_9469533,Cookie,4,ERRO,4.0,Dinheiro,,2023-05-22
TXN_6492919,Suco,3,3.0,9.0,Carteira Digital,,2023-09-24
TXN_4356223,Salada,3,5.0,15.0,Carteira Digital,Entrega,2023-11-23
TXN_7515082,Cafe,2,2.0,4.0,,Loja,2023-10-21
TXN_7216161,Cha,4,1.5,6.0,Cartao de Credito,Nao Sabemos,2023-07-06
TXN_2426782,Cafe,2,Nao Sabemos,4.0,Cartao de Credito,Loja,2023-11-04
TXN_3484520,Suco,3,3.0,9.0,Cartao de Credito,,2023-08-15
TXN_2806515,Smoothie,4,4.0,Nao Sabemos,,Loja,2023-12-31
TXN_7198128,Bolo,2,3.0,ERRO,,Loja,2023-09-07
TXN_6717061,Salada,3,5.0,15.0,Cartao de Credito,,2023-08-07
TXN_3562350,Cafe,2,2.0,4.0,ERRO,,2023-02-04
TXN_1987977,Nao Sabemos,2,4.0,8.0,,,2023-11-16
TXN_4250492,Salada,5,Nao Sabemos,25.0,,Entrega,2023-09-29
TXN_2471972,Cookie,1,1.0,1.0,Dinheiro,Entrega,2023-04-08
TXN_3060152,Suco,5,3.0,15.0,Carteira Digital,,2023-02-07
TXN_4651514,Cha,2,1.5,ERRO,Carteira Digital,Loja,2023-03-28
TXN_6555617,Salada,2,5.0,10.0,Carteira Digital,Entrega,2023-12-27
TXN_7033977,Sanduiche,4,4.0,16.0,,Entrega,2023-05-04
TXN_6899834,Bolo,3,3.0,9.0,Cartao de Credito,Entrega,2023-01-27
TXN_5031214,ERRO,5,Nao Sabemos,5.0,,Entrega,2023-07-29
TXN_3427950,Smoothie,5,4.0,20.0,,Loja,2023-02-23
TXN_8817239,ERRO,5,4.0,20.0,Dinheiro,Loja,2023-01-29
TXN_8543211,Suco,3,3.0,9.0,,Entrega,2023-11-30
TXN_7538570,Smoothie,4,4.0,16.0,Cartao de Credito,Entrega,2023-04-18
TXN_8789116,Salada,5,5.0,25.0,Carteira Digital,Entrega,2023-01-13
TXN_8930109,Cookie,5,1.0,5.0,Carteira Digital,Entrega,2023-05-17
TXN_9799798,Cafe,5,2.0,10.0,Cartao de Credito,Entrega,2023-05-23
TXN_8551432,Nao Sabemos,,1.5,6.0,,Entrega,2023-01-12
TXN_8831813,Smoothie,5,4.0,20.0,,,2023-11-23
TXN_5067373,Cookie,3,1.0,3.0,Dinheiro,ERRO,2023-10-18
TXN_5755839,Sanduiche,3,4.0,12.0,Cartao de Credito,Nao Sabemos,2023-12-19
TXN_1681153,Suco,3,3.0,9.0,Dinheiro,Entrega,2023-02-09
TXN_4255503,Cafe,3,2.0,6.0,Carteira Digital,Entrega,2023-11-19
TXN_6086709,ERRO,5,3.0,15.0,,ERRO,2023-07-07
TXN_2385697,Cafe,1,2.0,2.0,Dinheiro,Entrega,2023-09-10
TXN_9151321,Sanduiche,4,4.0,16.0,Dinheiro,Loja,2023-01-05
TXN_7369807,Cafe,4,2.0,8.0,,Loja,2023-02-22
TXN_1602799,Bolo,4,3.0,12.0,Carteira Digital,Entrega,2023-03-23
TXN_3336502,Sanduiche,3,4.0,12.0,Cartao de Credito,,2023-05-04
TXN_9579181,Sanduiche,1,4.0,4.0,Carteira Digital,Loja,2023-05-24
TXN_7391267,Bolo,3,Nao Sabemos,9.0,Carteira Digital,Loja,2023-12-07
TXN_1388606,Bolo,3,3.0,9.0,Carteira Digital,Entrega,2023-08-31
TXN_2336857,Bolo,3,3.0,9.0,Dinheiro,Loja,2023-08-02
TXN_9526867,Cookie,2,1.0,2.0,Carteira Digital,Entrega,2023-10-21
TXN_4427348,Bolo,5,3.0,15.0,Dinheiro,Nao Sabemos,2023-12-22
